dt_fs,integrator,n_samples,steps_per_sample,E0,mean,std,max_abs_dev,peak_to_peak,slope_per_ps
1.0,constrained_gpu,250,20,10.313877637995832,10.32299305556217,0.004223571980020869,0.017941638493963907,0.017941638493963907,6.038512118329805e-05
1.0,constrained_ref,250,20,10.313877637995832,10.322993068251465,0.0042235720686330785,0.017941664771544907,0.017941664771544907,6.039004040233296e-05
1.0,unconstrained,250,20,14.14125970740507,14.396342653759612,0.11388417117634596,0.4948180674674809,0.4948180674674809,0.0001468081474873495
2.0,constrained_gpu,250,10,10.313877637995832,10.350674107905128,0.016769672896029496,0.07013985647137311,0.07013985647137311,2.1462594426473513e-05
2.0,constrained_ref,250,10,10.313877637995832,10.35067411884072,0.016769673151896456,0.07013988441619112,0.07013988441619112,2.1467435001437076e-05
2.0,unconstrained,250,10,14.14125970740507,15.828572185711499,0.7722940365906936,3.2715049900832476,3.2715049900832476,0.005240616989025207
3.0,constrained_gpu,238,7,10.313877637995832,10.399352754821289,0.03643890496248095,0.16906551556927063,0.16906551556927063,-0.0013494234053360978
3.0,constrained_ref,238,7,10.313877637995832,10.399352759533427,0.036438904615118305,0.16906551961247906,0.16906551961247906,-0.001349421612130172
3.0,unconstrained,238,7,14.14125970740507,4564291581.614729,4379701040.412348,16362866546.107555,16362866546.107555,2432143726.8405986
4.0,constrained_gpu,250,5,10.313877637995832,10.471203165920308,0.05396558389335411,0.2919997077317191,0.2919997077317191,0.0007768128385639396
4.0,constrained_ref,250,5,10.313877637995832,10.471203173852269,0.0539655839433465,0.2919997122017115,0.2919997122017115,0.0007768152716886699
4.0,unconstrained,250,5,14.14125970740507,29491435567.595062,16958626421.69264,60798011212.89668,60798011212.89668,11401839295.83361
